clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A24	A25	A26	A27	A28	A2	A30	A34	A35	A38	A39	A3	A40	A4	A5	A6	A7	A8	A9
d__Bacteria|p__Verrucomicrobia|c__Spartobacteria	1	2	2	2	1	3	2	1	6	14	2	48	6	1	5	8	0	1	7	2	0	3	19	2	14	1	0	3
d__Bacteria|p__Verrucomicrobia|c__Spartobacteria|g__Candidatus_Xiphinematobacter	1	2	2	2	1	3	2	1	6	14	2	48	6	1	5	8	0	1	7	2	0	3	19	2	14	1	0	3
d__Bacteria|p__Verrucomicrobia|c__Spartobacteria|g__Candidatus_Xiphinematobacter|s__Candidatus_Xiphinematobacter_sp._Idaho_Grape	1	2	2	2	1	3	2	1	6	14	2	48	6	1	5	8	0	1	7	2	0	3	19	2	14	1	0	3
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	4	9	30	4	7	11	8	7	77	325	10	301	23	11	32	60	49	8	32	8	13	193	29	23	179	0	7	14
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	4	9	30	4	7	11	8	7	77	325	10	301	23	11	32	60	49	8	32	8	13	193	29	23	179	0	7	14
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae	4	9	30	4	7	11	8	7	77	325	10	301	23	11	32	60	49	8	32	8	13	193	29	23	179	0	7	14
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae|g__Methylacidiphilum	4	9	30	4	7	11	8	7	77	325	10	301	23	11	32	60	49	8	32	8	13	193	29	23	179	0	7	14
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae|g__Methylacidiphilum|s__Methylacidiphilum_fumariolicum	0	5	15	0	2	1	4	1	8	50	0	80	5	2	3	10	3	2	6	0	4	16	9	1	32	0	1	8
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae|g__Methylacidiphilum|s__Methylacidiphilum_kamchatkense	1	1	6	2	3	8	3	4	38	20	1	60	14	4	8	24	29	2	6	5	1	150	4	2	6	0	0	4
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae|g__Methylacidiphilum|s__Methylacidiphilum_infernorum	2	2	8	1	1	2	1	2	30	254	8	159	2	4	19	25	17	2	19	2	6	26	14	18	139	0	6	1
d__Bacteria|p__Verrucomicrobia|s__Verrucomicrobia_bacterium_S94	12	9	21	6	10	12	9	4	18	119	12	111	28	8	29	147	7	8	12	3	15	195	13	5	51	6	0	2
d__Bacteria|p__Verrucomicrobia|s__Verrucomicrobia_bacterium_IMCC26134	18	13	52	7	1	2	0	0	38	72	7	195	40	7	20	90	41	5	1	3	32	300	12	13	161	3	14	1
d__Bacteria|p__Verrucomicrobia|c__Opitutae	126	50	350	37	85	25	63	48	374	2410	99	1207	349	60	447	609	102	44	200	55	106	1691	157	90	518	45	71	82
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	19	2	24	3	8	1	15	16	18	206	14	46	17	2	31	43	0	3	50	9	7	105	11	4	20	2	0	2
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae	19	2	24	3	8	1	15	16	18	206	14	46	17	2	31	43	0	3	50	9	7	105	11	4	20	2	0	2
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae|g__Coraliomargarita	19	2	24	3	8	1	15	16	18	206	14	46	17	2	31	43	0	3	50	9	7	105	11	4	20	2	0	2
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae|g__Coraliomargarita|s__Coraliomargarita_akajimensis	19	2	24	3	8	1	15	16	18	206	14	46	17	2	31	43	0	3	50	9	7	105	11	4	20	2	0	2
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	107	48	326	34	77	24	48	32	356	2204	85	1161	332	58	416	566	102	41	150	46	99	1586	146	86	498	43	71	80
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae	107	48	326	34	77	24	48	32	356	2204	85	1161	332	58	416	566	102	41	150	46	99	1586	146	86	498	43	71	80
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Lacunisphaera	10	2	58	0	3	0	8	0	30	177	1	85	21	11	36	110	2	4	28	2	15	316	11	6	69	9	13	17
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Lacunisphaera|s__Lacunisphaera_limnophila	10	2	58	0	3	0	8	0	30	177	1	85	21	11	36	110	2	4	28	2	15	316	11	6	69	9	13	17
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|s__Opitutaceae_bacterium_TAV5	15	6	87	9	13	5	5	7	61	562	32	265	95	8	70	110	31	18	39	11	21	359	30	26	150	14	13	21
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Ereboglobus	15	12	26	4	29	13	14	9	78	450	26	309	77	3	76	103	25	7	25	17	12	257	13	14	59	5	2	16
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Ereboglobus|s__Ereboglobus_luteus	15	12	26	4	29	13	14	9	78	450	26	309	77	3	76	103	25	7	25	17	12	257	13	14	59	5	2	16
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Opitutus	31	18	94	14	23	2	10	13	109	708	17	372	106	31	104	142	38	6	30	8	39	516	52	29	162	10	34	11
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Opitutus|s__Opitutus_sp._GAS368	12	8	42	9	12	1	4	4	54	592	7	221	80	3	52	45	17	3	22	2	10	59	46	7	111	5	1	3
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Opitutus|s__Opitutus_terrae	18	10	51	4	11	1	6	9	55	116	10	151	25	28	51	96	21	3	7	6	29	456	6	22	50	4	33	8
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Nibricoccus	35	8	60	5	8	3	10	1	76	304	6	128	31	2	128	98	4	6	27	8	10	136	39	9	57	4	7	13
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae|g__Nibricoccus|s__Nibricoccus_aquaticus	35	8	60	5	8	3	10	1	76	304	6	128	31	2	128	98	4	6	27	8	10	136	39	9	57	4	7	13
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	138	47	295	33	64	43	37	44	368	3500	59	821	642	56	548	825	140	32	133	86	412	1460	265	78	338	130	74	113
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	138	47	295	33	64	43	37	44	368	3500	59	821	642	56	548	825	140	32	133	86	412	1460	265	78	338	130	74	113
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	60	16	88	8	20	12	10	4	90	1660	19	192	139	40	233	281	57	8	47	14	20	212	80	14	77	23	21	53
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Verrucomicrobium	60	16	88	8	20	12	10	4	90	1660	19	192	139	40	233	281	57	8	47	14	20	212	80	14	77	23	21	53
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Verrucomicrobium|s__Verrucomicrobium_sp._GAS474	13	7	12	5	10	10	4	2	45	988	9	81	29	30	139	54	46	1	31	8	4	85	49	8	28	10	17	22
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Verrucomicrobium|s__Verrucomicrobium_spinosum	47	9	76	3	10	2	6	2	45	672	10	111	110	10	94	227	11	7	16	6	16	127	31	6	49	13	4	31
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	78	31	207	25	44	31	27	40	277	1839	40	629	503	16	314	544	82	24	86	72	392	1248	185	64	260	107	53	60
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	78	31	207	25	44	31	27	40	277	1839	40	629	503	16	314	544	82	24	86	72	392	1248	185	64	260	107	53	60
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_glycaniphila	22	7	65	5	10	2	7	24	47	449	13	94	278	2	16	161	29	1	39	38	8	536	23	13	28	19	4	9
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	55	24	142	20	34	29	20	16	229	1390	27	534	225	14	298	383	53	23	47	34	384	711	162	51	232	88	49	51
d__Bacteria|p__Planctomycetes	1071	415	2121	298	501	323	283	173	2549	13925	546	6530	2769	526	2957	6890	1187	327	933	483	593	9934	1139	583	2116	421	525	568
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Pan110	0	0	0	0	11	0	0	0	0	22	0	48	28	0	80	89	0	0	0	0	12	54	0	0	16	0	0	0
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_K2D	0	0	18	0	19	0	0	0	82	0	0	54	140	14	30	30	0	0	0	41	0	52	31	0	59	0	0	19
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_MalM14	0	3	0	0	2	17	0	0	4	124	0	23	21	0	15	15	0	0	4	0	0	0	0	0	12	0	0	0
d__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiae	12	12	58	1	6	4	0	2	76	86	12	121	33	14	24	128	22	7	7	5	11	95	14	6	48	3	10	7
d__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiae|o__Candidatus_Brocadiales	12	12	58	1	6	4	0	2	76	86	12	121	33	14	24	128	22	7	7	5	11	95	14	6	48	3	10	7
d__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiae|o__Candidatus_Brocadiales|f__Candidatus_Brocadiaceae	12	12	58	1	6	4	0	2	76	86	12	121	33	14	24	128	22	7	7	5	11	95	14	6	48	3	10	7
d__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiae|o__Candidatus_Brocadiales|f__Candidatus_Brocadiaceae|g__Candidatus_Kuenenia	12	12	58	1	6	4	0	2	76	86	12	121	33	14	24	128	22	7	7	5	11	95	14	6	48	3	10	7
d__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiae|o__Candidatus_Brocadiales|f__Candidatus_Brocadiaceae|g__Candidatus_Kuenenia|s__Candidatus_Kuenenia_stuttgartiensis	12	12	58	1	6	4	0	2	76	86	12	121	33	14	24	128	22	7	7	5	11	95	14	6	48	3	10	7
d__Bacteria|p__Planctomycetes|c__Phycisphaerae	101	38	307	50	36	40	39	29	258	1063	87	755	255	77	289	442	190	27	66	106	57	1648	136	86	285	36	89	38
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	15	2	38	3	3	0	7	1	18	24	2	139	11	4	18	72	0	3	12	2	6	240	3	0	64	5	14	2
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae	15	2	38	3	3	0	7	1	18	24	2	139	11	4	18	72	0	3	12	2	6	240	3	0	64	5	14	2
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__Phycisphaera	15	2	38	3	3	0	7	1	18	24	2	139	11	4	18	72	0	3	12	2	6	240	3	0	64	5	14	2
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__Phycisphaera|s__Phycisphaera_mikurensis	15	2	38	3	3	0	7	1	18	24	2	139	11	4	18	72	0	3	12	2	6	240	3	0	64	5	14	2
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	21	22	93	12	13	6	9	4	82	425	57	317	113	21	112	46	50	11	23	21	11	571	39	51	71	18	13	18
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales|f__Sedimentisphaeraceae	21	22	93	12	13	6	9	4	82	425	57	317	113	21	112	46	50	11	23	21	11	571	39	51	71	18	13	18
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales|f__Sedimentisphaeraceae|g__Sedimentisphaera	21	22	93	12	13	6	9	4	82	425	57	317	113	21	112	46	50	11	23	21	11	571	39	51	71	18	13	18
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales|f__Sedimentisphaeraceae|g__Sedimentisphaera|s__Sedimentisphaera_cyanobacteriorum	7	16	41	5	2	2	5	0	44	115	12	121	62	6	76	24	8	4	18	10	7	276	16	17	17	4	1	11
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales|f__Sedimentisphaeraceae|g__Sedimentisphaera|s__Sedimentisphaera_salicampi	14	6	51	7	11	4	3	4	38	310	45	196	50	14	36	21	41	7	5	11	4	295	23	34	53	13	11	6
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|s__Phycisphaerae_bacterium_SM-Chi-D1	13	9	74	16	6	5	7	3	45	37	11	93	34	12	73	95	38	4	13	6	26	80	11	11	40	4	12	4
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|s__Phycisphaerae_bacterium_RAS2	19	2	35	14	3	27	4	10	66	115	14	109	30	36	63	81	62	7	6	34	8	705	31	13	69	3	45	7
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|s__Phycisphaerae_bacterium_ST-NAGAB-D1	33	3	67	5	11	2	12	11	46	462	3	96	67	4	23	148	40	2	12	43	6	52	52	11	41	6	5	7
d__Bacteria|p__Planctomycetes|c__Planctomycetia	272	124	558	79	139	109	83	46	790	4064	144	2114	650	160	810	1971	353	100	353	109	181	2138	335	150	667	105	159	160
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	272	124	558	79	139	109	83	46	790	4064	144	2114	650	160	810	1971	353	100	353	109	181	2138	335	150	667	105	159	160
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|s__Planctomycetales_bacterium	12	6	15	2	7	5	6	0	32	298	5	77	26	1	27	86	9	4	46	3	8	85	14	3	14	7	2	18
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae	30	12	48	7	18	10	16	12	113	418	21	295	67	9	112	215	61	6	39	20	18	272	38	11	41	12	4	18
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Gemmata	13	6	23	5	13	3	10	2	59	302	6	152	41	8	48	87	11	4	28	6	10	104	20	5	17	7	2	12
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Gemmata|s__Gemmata_sp._SH-PL17	4	2	5	2	9	1	8	2	29	227	4	100	25	1	24	37	5	1	20	4	8	64	14	2	8	4	0	5
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Gemmata|s__Gemmata_obscuriglobus	9	4	17	2	4	2	2	0	30	75	2	52	16	7	24	49	6	3	7	2	2	39	6	3	9	2	2	7
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|s__Gemmataceae_bacterium_PX52	17	5	24	2	5	7	6	9	53	115	14	142	26	1	63	127	50	2	11	14	8	167	18	6	23	5	2	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae	58	15	112	14	16	21	3	6	134	275	26	401	75	22	107	451	48	33	58	8	39	296	34	22	80	25	26	17
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera	3	1	20	7	1	15	0	4	33	76	14	65	13	2	28	23	28	1	15	3	14	34	5	12	19	3	4	7
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera|s__Singulisphaera_acidiphila	3	1	20	7	1	15	0	4	33	76	14	65	13	2	28	23	28	1	15	3	14	34	5	12	19	3	4	7
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Isosphaera	8	6	9	2	4	2	1	0	30	30	1	73	12	4	8	78	6	1	19	0	5	31	8	3	10	6	2	2
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Isosphaera|s__Isosphaera_pallida	8	6	9	2	4	2	1	0	30	30	1	73	12	4	8	78	6	1	19	0	5	31	8	3	10	6	2	2
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera	21	2	14	1	8	1	0	0	24	73	3	107	32	4	24	146	2	3	19	1	7	82	13	2	24	4	9	1
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera|s__Paludisphaera_borealis	21	2	14	1	8	1	0	0	24	73	3	107	32	4	24	146	2	3	19	1	7	82	13	2	24	4	9	1
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Aquisphaera	25	6	69	4	2	2	2	2	44	94	8	155	17	12	47	203	12	28	3	3	11	148	6	4	26	12	11	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Aquisphaera|s__Aquisphaera_giovannonii	25	6	69	4	2	2	2	2	44	94	8	155	17	12	47	203	12	28	3	3	11	148	6	4	26	12	11	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	171	90	381	56	96	72	56	27	510	3071	90	1340	481	127	562	1218	233	56	209	77	115	1484	248	113	530	60	126	105
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctopirus	0	0	25	0	1	5	0	2	18	114	8	64	21	1	32	49	5	0	0	7	5	36	11	11	15	2	3	4
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctopirus|s__Planctopirus_ephydatiae	0	0	8	0	1	2	0	0	12	96	8	24	7	0	9	26	5	0	0	1	2	18	11	9	5	2	2	4
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctopirus|s__Planctopirus_limnophila	0	0	16	0	0	2	0	2	5	17	0	39	13	1	22	22	0	0	0	5	2	17	0	1	9	0	1	0
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Roseimaritima	4	2	50	3	11	0	6	1	42	724	6	128	14	5	14	66	18	4	45	2	3	47	30	4	34	8	13	22
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Roseimaritima|s__Roseimaritima_ulvae	4	2	50	3	11	0	6	1	42	724	6	128	14	5	14	66	18	4	45	2	3	47	30	4	34	8	13	22
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Thermogutta	5	13	51	7	7	6	7	1	82	627	7	173	11	25	90	58	24	6	18	2	14	245	50	21	66	3	42	12
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Thermogutta|s__Thermogutta_terrifontis	5	13	51	7	7	6	7	1	82	627	7	173	11	25	90	58	24	6	18	2	14	245	50	21	66	3	42	12
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Bythopirellula	7	11	17	1	4	0	1	1	10	501	2	41	38	1	39	66	4	4	6	0	28	304	21	1	16	5	2	8
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Bythopirellula|s__Bythopirellula_goksoyri	7	11	17	1	4	0	1	1	10	501	2	41	38	1	39	66	4	4	6	0	28	304	21	1	16	5	2	8
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Gimesia	11	19	28	18	16	18	10	13	122	345	23	331	76	53	80	77	68	5	41	38	17	129	73	34	94	7	31	13
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Gimesia|s__Gimesia_maris	11	19	28	18	16	18	10	13	122	345	23	331	76	53	80	77	68	5	41	38	17	129	73	34	94	7	31	13
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rubinisphaera	19	3	11	3	2	2	2	0	36	55	5	47	37	1	22	158	1	3	1	2	6	95	7	1	37	5	1	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rubinisphaera|s__Rubinisphaera_brasiliensis	19	3	11	3	2	2	2	0	36	55	5	47	37	1	22	158	1	3	1	2	6	95	7	1	37	5	1	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Pirellula	19	4	47	6	7	3	13	2	37	161	13	120	23	4	17	129	14	6	53	1	9	168	11	13	25	4	3	6
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Pirellula|s__Pirellula_sp._SH-Sr6A	2	2	13	5	0	0	9	0	16	109	6	38	13	0	4	40	6	3	21	1	7	47	9	4	18	0	0	4
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Pirellula|s__Pirellula_staleyi	17	2	34	1	7	3	4	2	21	52	7	82	10	4	13	89	8	3	32	0	2	121	2	9	7	4	3	2
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Mariniblastus	20	6	25	6	6	3	3	0	19	111	7	42	19	9	38	82	26	3	8	6	6	103	10	0	29	3	8	0
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Mariniblastus|s__Mariniblastus_fucicola	20	6	25	6	6	3	3	0	19	111	7	42	19	9	38	82	26	3	8	6	6	103	10	0	29	3	8	0
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Fuerstia	23	4	27	4	6	2	2	1	18	65	14	51	19	10	28	72	21	6	6	4	6	66	5	15	11	2	9	5
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Fuerstia|s__Fuerstia_marisgermanicae	23	4	27	4	6	2	2	1	18	65	14	51	19	10	28	72	21	6	6	4	6	66	5	15	11	2	9	5
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rhodopirellula	28	8	57	3	9	32	0	3	41	32	3	94	19	4	103	242	44	13	0	7	10	69	10	3	79	5	8	3
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rhodopirellula|s__Rhodopirellula_baltica	28	8	57	3	9	32	0	3	41	32	3	94	19	4	103	242	44	13	0	7	10	69	10	3	79	5	8	3
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctomyces	32	18	40	5	25	1	11	3	82	333	2	246	201	14	96	216	6	6	30	6	9	218	19	9	121	14	6	25
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctomyces|s__Planctomyces_sp._SH-PL14	13	11	15	2	11	1	1	2	16	186	2	125	11	10	47	53	3	2	23	6	1	58	12	5	69	4	0	5
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctomyces|s__Planctomyces_sp._SH-PL62	19	7	25	3	14	0	10	1	66	146	0	121	190	4	49	163	3	4	6	0	8	159	6	4	51	10	6	20
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Mal33	2	2	3	4	0	0	0	0	4	26	0	17	5	0	49	3	0	0	43	0	0	25	3	21	0	0	0	2
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_HG66A1	2	3	5	21	0	16	0	0	7	349	0	9	14	0	14	7	101	9	13	0	2	0	3	5	5	0	0	5
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_CA12	1	7	7	2	2	1	1	3	13	29	2	20	9	0	8	20	7	5	13	2	6	64	1	2	2	5	0	1
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Pan97	1	4	7	2	0	0	0	0	21	74	2	48	8	1	12	24	4	2	2	1	2	65	4	5	14	2	1	3
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_MalM25	1	3	6	1	2	0	2	1	11	81	2	37	10	1	12	33	4	3	28	0	8	24	2	1	30	1	1	3
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Enr17	1	0	33	1	6	0	0	2	13	35	14	12	5	0	5	99	10	0	1	1	4	17	4	5	16	2	2	4
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_CA51	4	7	0	0	0	0	0	0	0	19	6	5	5	1	0	15	0	0	0	0	0	0	3	0	0	15	4	0
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Pan258	3	4	1	0	1	0	1	22	1	150	4	6	48	0	7	36	0	0	0	5	1	15	4	6	11	5	0	1
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Enr10	12	0	10	0	12	0	0	0	103	445	0	369	112	19	89	161	0	0	36	0	6	523	36	13	49	26	15	24
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Pan153	4	4	15	0	4	0	0	0	3	0	5	23	4	1	8	109	6	19	0	0	13	480	8	4	0	0	0	2
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Q31a	2	3	6	7	7	2	9	0	24	59	1	38	6	0	19	31	12	1	11	2	6	33	7	6	7	4	0	6
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Spa11	59	23	144	0	18	0	22	0	16	0	0	53	22	58	59	119	0	0	0	0	20	25	0	0	58	0	53	0
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_K22_7	3	2	10	3	2	5	6	0	22	180	10	37	4	14	30	26	7	5	5	1	7	34	12	15	12	0	16	3
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_V22	3	6	39	0	9	0	15	0	19	48	3	81	53	1	22	34	0	9	4	0	11	358	9	2	8	14	4	5
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_V144	3	0	10	1	6	1	6	0	17	461	3	45	5	5	17	81	12	4	13	0	1	12	24	6	8	2	11	4
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Poly24	4	2	9	9	2	14	0	1	15	36	5	28	11	1	37	9	19	1	24	8	6	32	5	15	12	1	1	4
d__Bacteria|p__Planctomycetes|s__Planctomycetes_bacterium_Mal65	4	2	16	2	2	4	3	2	16	8	5	29	19	1	17	51	7	5	12	7	3	23	2	2	15	5	0	2
