clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A24	A25	A26	A27	A28	A2	A30	A34	A35	A38	A39	A3	A40	A4	A5	A6	A7	A8	A9
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	13	10	12	12	8	4	5	5	38	82	14	295	13	0	17	87	39	13	4	17	12	50	7	10	65	5	1	8
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	13	10	12	12	8	4	5	5	38	82	14	295	13	0	17	87	39	13	4	17	12	50	7	10	65	5	1	8
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	13	10	12	12	8	4	5	5	38	82	14	295	13	0	17	87	39	13	4	17	12	50	7	10	65	5	1	8
d__Bacteria|p__Dictyoglomi	38	16	43	24	15	6	17	19	125	224	49	217	19	19	98	59	122	8	21	50	18	95	51	45	112	4	35	12
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	38	16	43	24	15	6	17	19	125	224	49	217	19	19	98	59	122	8	21	50	18	95	51	45	112	4	35	12
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	38	16	43	24	15	6	17	19	125	224	49	217	19	19	98	59	122	8	21	50	18	95	51	45	112	4	35	12
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	38	16	43	24	15	6	17	19	125	224	49	217	19	19	98	59	122	8	21	50	18	95	51	45	112	4	35	12
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	38	16	43	24	15	6	17	19	125	224	49	217	19	19	98	59	122	8	21	50	18	95	51	45	112	4	35	12
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	13	4	25	8	8	5	10	14	58	60	23	115	6	14	44	20	81	3	8	30	4	45	23	25	42	3	20	6
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	25	12	18	16	7	1	6	5	66	163	25	101	12	5	53	38	41	5	13	20	14	49	28	19	69	1	15	6
d__Bacteria|p__Thermodesulfobacteria	58	30	150	27	31	32	13	26	260	467	50	574	86	31	177	139	198	15	33	74	33	216	77	69	340	12	31	40
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	58	30	150	27	31	32	13	26	260	467	50	574	86	31	177	139	198	15	33	74	33	216	77	69	340	12	31	40
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	58	30	150	27	31	32	13	26	260	467	50	574	86	31	177	139	198	15	33	74	33	216	77	69	340	12	31	40
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	58	30	150	27	31	32	13	26	260	467	50	574	86	31	177	139	198	15	33	74	33	216	77	69	340	12	31	40
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	6	3	22	9	7	9	4	10	62	100	8	98	12	8	34	16	49	2	4	14	5	38	19	15	46	3	2	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium_thiodismutans	6	3	22	9	7	9	4	10	62	100	8	98	12	8	34	16	49	2	4	14	5	38	19	15	46	3	2	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	6	4	10	3	6	3	1	2	35	55	6	59	26	12	13	16	9	3	6	0	5	26	9	4	8	4	9	8
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	6	4	10	3	6	3	1	2	35	55	6	59	26	12	13	16	9	3	6	0	5	26	9	4	8	4	9	8
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	46	23	118	15	18	20	8	14	163	312	36	417	48	11	130	107	140	10	23	60	23	152	49	50	286	5	20	22
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_commune	6	1	8	6	5	7	5	11	53	64	12	107	10	1	27	14	29	5	11	44	6	24	14	23	58	2	9	6
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1	17	8	28	2	3	4	1	0	52	145	5	222	22	3	56	44	62	2	3	10	8	69	13	11	184	0	2	7
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis	23	14	82	7	10	9	2	3	58	103	19	88	16	7	46	48	49	3	9	5	9	59	21	16	43	3	9	9
d__Bacteria|p__Calditrichaeota	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Calditrichaeota|c__Calditrichae	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	81	14	36	7	9	2	4	9	60	106	12	98	352	8	71	178	11	8	10	28	12	244	30	13	31	29	2	13
d__Bacteria|p__Aquificae	99	57	221	57	53	35	48	31	432	1353	124	886	379	46	355	406	242	46	89	124	85	945	179	165	432	24	63	67
d__Bacteria|p__Aquificae|c__Aquificae	99	57	221	57	53	35	48	31	432	1353	124	886	379	46	355	406	242	46	89	124	85	945	179	165	432	24	63	67
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	34	11	95	10	12	11	11	10	75	263	17	249	282	19	115	119	29	4	23	28	8	465	50	21	76	15	20	15
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	34	11	95	10	12	11	11	10	75	263	17	249	282	19	115	119	29	4	23	28	8	465	50	21	76	15	20	15
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	12	4	77	1	0	3	2	6	29	169	13	152	273	2	72	47	5	3	12	15	5	413	22	8	34	12	4	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio_ammonificans	12	4	77	1	0	3	2	6	29	169	13	152	273	2	72	47	5	3	12	15	5	413	22	8	34	12	4	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	22	7	17	9	12	8	9	4	46	94	4	97	8	17	43	71	24	1	11	13	3	52	28	13	42	3	16	12
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum	22	7	17	9	12	8	9	4	46	94	4	97	8	17	43	71	24	1	11	13	3	52	28	13	42	3	16	12
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	65	46	126	47	41	24	37	21	357	1090	107	637	97	27	240	287	213	42	66	96	77	480	129	144	356	9	43	52
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	8	4	16	4	2	2	5	2	35	76	7	102	9	4	16	23	1	8	5	3	5	18	12	15	22	0	3	4
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii	8	4	16	4	2	2	5	2	35	76	7	102	9	4	16	23	1	8	5	3	5	18	12	15	22	0	3	4
