clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	12	2	40	19	7	10	18	7	73	63	12	16	32	101	10	27	18	273	94	348	68	12	6	4	16	13	1	7	10	21	38	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	0	0	15	0	0	8	12	0	25	0	0	5	0	43	7	10	0	80	66	235	31	0	2	0	5	6	1	3	1	13	20	0	0	0	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	12	2	25	19	7	1	5	7	48	63	12	11	32	58	2	16	18	193	28	113	37	12	4	4	11	7	0	4	9	8	17	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	13	10	12	12	8	4	5	5	38	17	12	7	10	65	5	1	8	20	11	234	35	1	2	20	20	12	2	7	4	8	11	3	1	0	16	18	2
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	13	10	12	12	8	4	5	5	38	17	12	7	10	65	5	1	8	20	11	234	35	1	2	20	20	12	2	7	4	8	11	3	1	0	16	18	2
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	13	10	12	12	8	4	5	5	38	17	12	7	10	65	5	1	8	20	11	234	35	1	2	20	20	12	2	7	4	8	11	3	1	0	16	18	2
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	13	10	12	12	8	4	5	5	38	17	12	7	10	65	5	1	8	20	11	234	35	1	2	20	20	12	2	7	4	8	11	3	1	0	16	18	2
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	13	10	12	12	8	4	5	5	38	17	12	7	10	65	5	1	8	20	11	234	35	1	2	20	20	12	2	7	4	8	11	3	1	0	16	18	2
d__Bacteria|p__Dictyoglomi	38	16	43	24	15	6	17	19	125	98	18	51	45	112	4	35	12	914	427	226	156	44	9	14	53	18	7	18	29	63	53	9	5	0	17	17	11
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	38	16	43	24	15	6	17	19	125	98	18	51	45	112	4	35	12	914	427	226	156	44	9	14	53	18	7	18	29	63	53	9	5	0	17	17	11
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	38	16	43	24	15	6	17	19	125	98	18	51	45	112	4	35	12	914	427	226	156	44	9	14	53	18	7	18	29	63	53	9	5	0	17	17	11
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	38	16	43	24	15	6	17	19	125	98	18	51	45	112	4	35	12	914	427	226	156	44	9	14	53	18	7	18	29	63	53	9	5	0	17	17	11
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	38	16	43	24	15	6	17	19	125	98	18	51	45	112	4	35	12	914	427	226	156	44	9	14	53	18	7	18	29	63	53	9	5	0	17	17	11
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	13	4	25	8	8	5	10	14	58	44	4	23	25	42	3	20	6	413	170	116	80	20	3	9	21	7	2	3	10	35	23	2	3	0	9	6	4
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	25	12	18	16	7	1	6	5	66	53	14	28	19	69	1	15	6	500	256	109	76	23	5	5	32	11	5	15	18	27	29	7	2	0	8	10	7
d__Bacteria|p__Thermodesulfobacteria	58	30	150	27	31	32	13	26	260	177	33	77	69	340	12	31	40	1316	812	1110	324	97	23	44	85	56	2	63	60	76	76	31	14	5	32	47	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	58	30	150	27	31	32	13	26	260	177	33	77	69	340	12	31	40	1316	812	1110	324	97	23	44	85	56	2	63	60	76	76	31	14	5	32	47	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	58	30	150	27	31	32	13	26	260	177	33	77	69	340	12	31	40	1316	812	1110	324	97	23	44	85	56	2	63	60	76	76	31	14	5	32	47	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	58	30	150	27	31	32	13	26	260	177	33	77	69	340	12	31	40	1316	812	1110	324	97	23	44	85	56	2	63	60	76	76	31	14	5	32	47	10
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	6	3	22	9	7	9	4	10	62	34	5	19	15	46	3	2	10	408	194	332	57	46	4	5	13	10	0	6	7	14	15	9	0	0	8	8	4
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium_thiodismutans	6	3	22	9	7	9	4	10	62	34	5	19	15	46	3	2	10	408	194	332	57	46	4	5	13	10	0	6	7	14	15	9	0	0	8	8	4
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	6	4	10	3	6	3	1	2	35	13	5	9	4	8	4	9	8	171	154	218	56	15	7	7	25	20	0	26	17	30	11	8	0	2	1	10	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	6	4	10	3	6	3	1	2	35	13	5	9	4	8	4	9	8	171	154	218	56	15	7	7	25	20	0	26	17	30	11	8	0	2	1	10	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	46	23	118	15	18	20	8	14	163	130	23	49	50	286	5	20	22	737	463	560	210	36	12	32	47	26	2	31	36	32	50	14	14	3	23	29	3
