clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas	62	24	104	9	11	7	6	3	66	123	12	37	12	70	693	17	50	258	131	432	274	99	3	7	43	19	2	15	17	19	44	8	2	2	7	16	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_spadix	5	6	19	0	3	2	1	0	21	37	3	11	5	33	51	4	34	75	85	113	72	39	0	2	14	4	1	3	4	1	5	2	1	2	2	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_suwonensis	56	18	85	9	7	4	5	3	45	86	9	25	6	36	641	13	15	183	45	319	201	59	3	5	29	15	1	11	12	18	38	6	1	0	5	13	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter	151	68	225	39	77	25	28	16	220	350	42	102	79	163	651	34	164	1537	1170	4177	2367	1358	38	43	190	87	14	92	79	185	231	37	24	6	11	40	39
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_lycopersici	2	3	7	2	5	3	3	0	21	15	1	21	2	13	53	0	16	300	106	84	124	60	6	0	1	10	0	12	18	54	4	5	6	2	1	7	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_maris	8	2	50	6	4	1	4	12	14	85	3	17	9	0	122	4	12	292	212	690	77	91	1	5	14	3	2	4	13	14	34	1	1	0	1	3	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_capsici	18	10	54	4	17	1	2	0	24	65	7	9	8	4	36	17	20	186	142	707	53	134	1	1	10	7	2	6	4	10	19	1	0	0	1	5	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_enzymogenes	20	18	49	4	18	4	5	1	33	55	5	18	29	34	190	6	27	444	603	1709	1763	947	18	23	106	40	6	45	21	47	95	22	5	2	2	12	14
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_sp._SJ-36	2	7	6	3	8	0	5	0	10	12	5	6	0	11	79	0	10	59	21	55	44	19	1	0	2	2	2	0	1	5	3	1	0	0	0	7	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_sp._TY2-98	19	4	28	2	6	3	1	2	44	16	6	8	11	16	51	0	11	59	20	86	176	14	5	1	20	13	0	5	11	34	22	1	4	0	3	2	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_antibioticus	39	14	14	6	11	12	3	0	45	75	7	10	8	55	83	1	37	85	17	551	42	28	4	10	30	6	2	15	7	5	40	3	4	1	3	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_gummosus	40	7	14	10	4	0	3	1	23	23	5	10	9	27	33	4	27	109	47	293	85	62	0	1	3	4	0	2	1	13	11	2	2	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	163	151	396	170	144	51	77	26	394	422	76	138	87	386	1458	57	295	3006	1368	7287	2618	11961	39	97	174	95	29	91	113	255	260	76	22	25	22	139	96
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._SAU14A_NAIMI4_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	5	0	0	49	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._WZN-1	0	0	2	0	3	3	0	0	12	3	0	19	1	0	22	0	10	65	16	17	61	7	0	3	0	0	2	4	0	0	17	1	0	0	0	4	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._YAU14A_MKIMI4_1	0	0	20	0	8	0	0	0	4	0	0	0	0	5	27	0	0	12	26	224	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._PAMC25021	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	169	1056	42	59	0	0	0	0	0	0	0	11	22	0	7	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._ZAC14A_NAIMI4_1	0	4	0	7	0	0	0	0	5	2	2	0	0	6	45	0	4	104	11	52	41	10	3	3	2	3	0	0	4	0	7	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_acidaminiphila	6	8	49	40	4	2	6	1	12	24	10	10	2	18	288	3	40	357	181	643	118	170	2	19	15	11	1	12	2	18	9	12	1	3	0	19	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_rhizophila	15	9	8	7	10	11	3	3	14	31	4	3	3	51	167	19	18	95	142	448	226	105	2	6	33	15	0	13	7	12	20	2	1	5	2	8	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._MYb57	1	2	0	4	4	2	1	0	0	8	0	0	0	0	26	0	19	118	96	163	55	30	0	0	0	0	0	0	0	7	2	1	0	2	1	9	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._Pemsol	2	2	3	0	0	0	0	0	1	0	0	0	0	2	11	0	2	20	7	34	15	30	0	1	3	0	3	5	0	0	5	0	0	0	0	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._G4	1	0	0	1	1	0	1	0	1	6	0	7	1	1	27	0	6	558	50	49	36	62	0	3	4	0	0	7	1	13	1	9	2	0	1	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._DAIF1	1	4	0	0	0	2	0	1	27	0	0	21	4	1	19	0	0	74	7	29	21	11	0	0	9	0	0	0	14	0	3	0	0	2	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._pho	7	0	80	0	5	0	0	0	4	0	0	0	0	50	8	0	13	128	18	17	30	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._ASS1	6	3	2	3	1	1	1	1	14	38	7	3	0	0	23	0	7	54	23	23	183	28	0	0	0	7	0	0	4	18	3	0	0	0	0	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._LM091	10	1	28	24	5	0	6	0	7	12	1	11	5	25	97	0	13	81	62	325	48	36	4	8	1	3	4	2	9	1	17	2	0	0	0	3	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._ZAC14D2_NAIMI4_6	2	0	0	1	0	0	0	0	1	0	2	0	0	6	12	3	13	3	8	149	12	13	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._SAU14A_NAIMI4_5	1	1	10	2	4	0	1	0	7	6	1	1	1	9	57	0	2	54	23	16	516	9	0	0	0	1	0	1	0	7	15	1	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._ESTM1D_MKCIP4_1	3	6	15	3	0	8	1	1	2	5	2	2	5	2	39	0	13	121	60	317	43	37	3	0	2	5	4	1	3	6	12	4	0	0	0	2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._ZAC14D2_NAIMI4_7	7	1	6	0	1	0	0	0	2	4	0	0	2	4	21	0	11	48	45	76	38	9	0	4	30	0	0	3	1	6	26	5	1	0	0	0	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_sp._YAU14D1_LEIMI4_1	15	6	4	0	10	0	2	0	8	73	7	6	0	42	16	5	0	10	0	11	10	2	3	0	2	0	0	0	0	7	9	0	0	1	0	0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia	79	89	162	74	81	19	50	17	264	205	35	50	58	157	526	20	112	940	418	3579	1071	11240	19	45	69	46	13	35	63	143	84	36	9	10	18	77	60
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas	183	154	532	85	157	12	75	34	389	536	92	161	79	280	1237	82	276	6477	4641	17060	5206	2294	37	87	174	104	20	136	182	254	298	66	74	35	124	181	66
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_perforans	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	2	24	4	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_gardneri	0	0	0	0	15	0	0	0	16	10	2	0	4	8	21	0	5	20	0	149	7	11	6	10	24	4	0	5	0	3	36	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_axonopodis	0	0	0	25	0	0	0	0	0	0	0	0	0	6	0	3	0	8	11	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_vasicola	0	0	20	2	3	0	0	0	1	0	0	0	0	3	32	0	0	106	116	1095	2	3	0	0	0	0	0	0	2	2	8	4	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_cassavae	1	7	3	2	5	1	1	1	15	6	1	13	1	2	54	2	4	201	203	1315	272	190	1	1	27	4	2	9	13	17	39	1	1	0	0	0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_euvesicatoria	7	24	7	0	3	0	0	7	28	17	6	17	3	4	15	0	16	45	1	190	39	33	0	10	7	3	6	0	63	18	3	19	52	14	102	80	37
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_phaseoli	2	2	1	0	0	0	0	1	36	0	0	0	0	0	9	36	0	123	90	5	3	20	0	2	0	23	0	27	0	0	1	0	0	0	0	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_vesicatoria	4	11	67	0	10	0	7	2	37	32	3	33	2	29	63	1	13	27	15	995	91	112	2	14	35	12	0	8	7	30	12	1	1	4	2	8	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_fragariae	7	5	56	4	2	0	0	3	18	18	5	4	3	11	30	3	4	50	5	276	39	35	6	17	6	3	0	16	4	1	14	2	0	3	1	5	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_albilineans	7	15	33	5	4	0	2	0	13	50	5	9	10	22	40	16	18	60	41	25	27	7	0	3	3	4	3	7	1	0	3	1	1	1	2	7	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_translucens	8	17	50	7	13	3	8	3	49	55	4	13	6	33	262	0	24	219	139	311	448	76	3	10	21	9	1	23	19	34	38	14	1	1	0	4	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_oryzae	12	12	26	5	27	2	11	4	49	34	18	16	4	32	39	10	44	96	60	144	105	33	3	2	7	8	2	5	9	14	23	2	3	1	9	11	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_arboricola	16	19	35	4	14	1	3	2	14	9	2	7	4	15	102	0	36	210	170	658	101	87	1	2	12	1	1	4	10	39	30	0	1	1	0	9	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_campestris	19	6	59	13	15	2	13	6	44	67	19	38	12	19	139	1	34	303	104	817	136	303	3	3	20	8	3	11	18	44	30	4	9	6	1	12	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_hortorum	34	5	29	0	1	0	1	0	5	32	0	0	2	13	48	5	1	86	12	640	16	24	0	6	3	8	0	2	6	1	2	8	1	0	2	3	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_citri	23	15	132	7	29	0	24	0	46	182	21	6	20	67	131	2	54	4815	3648	9890	3812	1228	1	1	5	4	1	3	21	36	16	2	0	1	4	12	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_sacchari	37	9	8	8	11	0	0	0	12	18	3	1	2	10	247	1	17	82	18	510	97	104	0	2	0	8	1	9	4	10	39	4	2	1	0	6	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	1204	907	2860	558	1011	638	1083	435	5739	5976	971	4744	1426	5356	816	732	2296	30821	15938	50363	14868	5534	715	1631	2665	1197	264	1363	1946	2404	2820	714	1312	314	1400	1195	993
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae	2	3	11	3	6	33	10	0	15	63	5	8	21	63	4	39	11	515	234	1031	162	370	1	15	54	9	0	4	7	17	23	4	2	2	8	8	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas	2	3	11	3	6	33	10	0	15	63	5	8	21	63	4	39	11	515	234	1031	162	370	1	15	54	9	0	4	7	17	23	4	2	2	8	8	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas|s__Ferrimonas_balearica	2	3	11	3	6	33	10	0	15	63	5	8	21	63	4	39	11	515	234	1031	162	370	1	15	54	9	0	4	7	17	23	4	2	2	8	8	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae	22	28	98	8	34	15	45	15	209	286	31	176	36	161	30	7	67	676	393	1990	637	178	24	73	153	56	7	75	59	95	122	22	31	14	42	50	29
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella	22	28	98	8	34	15	45	15	209	286	31	176	36	161	30	7	67	676	393	1990	637	178	24	73	153	56	7	75	59	95	122	22	31	14	42	50	29
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_viscosa	2	5	63	2	5	8	13	1	22	39	5	14	11	55	1	0	16	39	30	662	250	56	13	44	38	35	3	32	20	40	59	9	12	4	22	8	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_yayanosii	7	18	11	3	20	3	11	14	119	100	18	66	18	41	7	5	14	586	326	1147	369	106	6	19	94	14	4	36	29	40	43	10	9	10	15	33	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_marina	12	4	23	2	9	3	21	0	67	146	7	95	6	64	21	1	35	50	35	181	17	15	4	9	20	6	0	6	9	14	20	2	9	0	4	7	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae	30	13	52	19	24	14	22	20	131	110	23	91	86	336	11	32	69	651	350	603	139	61	28	21	23	36	1	40	42	49	56	18	51	11	50	23	39
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas	30	13	52	19	24	14	22	20	131	110	23	91	86	336	11	32	69	651	350	603	139	61	28	21	23	36	1	40	42	49	56	18	51	11	50	23	39
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas|s__Psychromonas_sp._CNPT3	10	5	23	12	12	8	13	8	57	61	12	51	67	265	6	4	23	275	159	198	44	22	6	11	7	16	0	7	20	23	30	1	18	3	10	12	16
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas|s__Psychromonas_ingrahamii	20	7	28	6	12	6	9	12	74	48	11	39	18	71	5	28	45	376	191	405	94	39	22	10	16	19	1	33	21	25	26	17	32	8	40	11	23
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae	40	43	73	18	33	53	27	12	226	188	45	154	48	276	42	7	55	1370	420	1003	264	75	19	35	96	57	0	19	46	44	84	6	53	11	99	54	34
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|s__Idiomarinaceae_bacterium_HL-53	15	10	30	5	8	39	7	2	96	57	10	53	12	152	34	3	19	103	35	279	27	2	2	10	23	14	0	4	2	11	19	2	18	1	10	3	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina	25	33	42	13	25	14	19	10	129	131	35	101	35	124	8	4	35	1267	385	723	237	72	17	25	73	43	0	15	44	32	64	4	35	10	89	51	25
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_piscisalsi	5	3	3	6	1	12	1	3	16	18	5	15	3	28	0	0	6	45	43	116	26	15	6	0	5	3	0	0	1	6	13	0	4	1	1	5	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_sp._X4	3	9	12	1	4	0	6	0	36	43	20	52	24	12	4	2	4	210	30	440	75	12	5	9	14	6	0	8	31	6	18	4	1	1	63	14	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_sp._OT37-5b	3	12	18	3	10	1	10	3	50	48	6	28	2	63	1	0	13	724	204	32	6	5	5	1	7	1	0	1	0	8	7	0	17	2	1	2	17
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_loihiensis	12	9	8	2	8	1	1	3	27	21	3	6	6	20	2	2	11	287	106	135	129	39	0	14	46	32	0	5	11	11	26	0	12	6	24	29	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae	89	78	384	53	121	32	112	38	578	670	93	564	117	609	54	41	241	2735	1663	4094	1065	277	100	153	235	100	11	135	190	255	304	62	143	33	128	125	88
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Litorilituus	4	11	9	3	9	0	9	4	29	24	6	16	3	47	6	0	18	471	215	432	105	84	5	23	17	11	4	17	28	41	52	21	28	8	12	16	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Litorilituus|s__Litorilituus_sediminis	4	11	9	3	9	0	9	4	29	24	6	16	3	47	6	0	18	471	215	432	105	84	5	23	17	11	4	17	28	41	52	21	28	8	12	16	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea	24	24	160	12	27	15	29	12	145	188	20	212	17	181	16	17	90	694	369	781	248	35	32	22	35	16	1	17	23	47	57	6	37	7	33	25	30
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._HSM_43	4	6	5	6	6	2	7	0	28	20	7	12	1	32	2	2	30	98	16	73	23	0	3	8	9	9	1	6	4	8	21	2	16	0	7	4	21
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._PS06	7	8	91	2	12	9	15	1	57	51	4	123	3	22	5	1	30	523	297	628	219	32	5	6	7	5	0	4	9	23	9	1	12	2	11	5	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_crassostreae	13	9	64	4	8	4	5	11	59	115	9	76	13	126	8	14	29	72	55	78	5	2	24	8	19	2	0	7	10	16	27	3	7	5	15	16	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia	61	42	214	38	84	17	73	21	403	458	67	334	96	381	31	24	132	1569	1078	2880	711	157	62	108	182	73	6	101	138	165	194	35	77	18	82	84	53
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._Arc7-D	0	4	16	9	14	3	13	0	47	36	13	19	20	230	2	1	13	224	234	315	207	6	8	15	17	9	1	14	24	23	54	3	10	8	21	13	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_beringensis	9	1	4	1	16	1	7	2	34	51	6	45	4	13	4	3	15	172	162	75	44	23	6	23	56	10	1	25	18	26	29	6	6	2	4	6	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_psychrerythraea	16	4	76	10	12	6	13	1	52	54	8	50	15	35	6	5	15	111	120	318	185	19	20	20	32	15	0	10	29	22	29	7	25	1	8	9	9
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._MT41	5	4	28	1	15	4	6	6	50	113	4	65	9	21	3	5	24	69	28	549	78	5	12	29	23	20	1	22	25	44	42	8	15	4	9	21	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._PAMC_20917	7	3	28	9	5	1	7	5	44	37	11	36	10	16	5	2	16	122	61	414	54	15	2	14	27	13	2	14	15	26	23	3	3	0	16	10	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._PAMC_21821	12	18	22	3	18	2	18	3	127	92	12	72	20	22	6	2	30	777	330	1025	79	62	3	3	16	5	0	1	16	8	8	4	6	0	12	10	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._Arc7-635	10	4	37	4	2	0	6	2	46	72	10	45	15	41	2	4	16	92	139	182	62	24	9	3	8	1	1	14	8	13	6	3	9	2	9	12	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	181	218	573	166	205	180	287	101	1364	1539	245	1288	375	1204	132	194	506	6137	3688	9390	3116	895	182	401	626	303	62	352	507	576	704	185	270	66	326	236	177
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas	181	218	573	166	205	180	287	101	1364	1539	245	1288	375	1204	132	194	506	6137	3688	9390	3116	895	182	401	626	303	62	352	507	576	704	185	270	66	326	236	177
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_sp._Xi13	0	0	0	0	0	0	2	6	7	3	3	17	0	11	0	12	10	163	71	168	53	80	11	2	15	17	0	21	9	29	17	3	0	0	4	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_tetraodonis	0	0	0	0	5	0	0	0	11	9	7	12	6	0	0	0	28	0	0	7	0	0	0	6	0	0	0	9	34	0	9	0	10	0	4	0	0
